Код	"маркет bid"	"маркет cbid"	Кластер
62007	121	121	000
49897	12	12	000
64254	12	12	000
33709	12	12	000
57823	12	12	000
57822	12	12	000
49276	12	12	000
64255	12	12	000
52084	12	12	000
58866	12	12	000
27949	12	12	000
47148	12	12	000
47962	12	12	000
59107	12	12	000
11558	12	12	000
36379	12	12	000
55186	12	12	000
44550	12	12	000
57824	12	12	000
47229	12	12	000
43797	12	12	000
52699	12	12	000
51258	12	12	000
61311	12	12	000
57223	12	12	000
57818	12	12	000
28806	12	12	000
57820	12	12	000
47230	12	12	000
42940	12	12	000
55268	12	12	000
57819	12	12	000
49648	12	12	000
44204	12	12	000
49258	12	12	000
28682	12	12	000
49547	12	12	000
56868	12	12	000
64257	12	12	000
42086	12	12	000
51257	12	12	000
58865	12	12	000
42085	12	12	000
58850	12	12	000
54152	12	12	000
54154	12	12	000
56905	12	12	000
58849	12	12	000
58970	12	12	000
32306	12	12	000
47233	12	12	000
58906	12	12	000
40778	12	12	000
48583	12	12	000
67713	12	12	000
59274	12	12	000
65390	12	12	000
64256	12	12	000
43311	12	12	000
58726	12	12	000
40027	12	12	000
52760	12	12	000
42112	12	12	000
62282	12	12	000
38511	12	12	000
53076	12	12	000
35486	12	12	000
37480	12	12	000
39426	12	12	000
40782	12	12	000
45658	12	12	000
53072	12	12	000
47961	12	12	000
65392	12	12	000
35721	12	12	000
56114	12	12	000
35841	12	12	000
32043	12	12	000
59278	12	12	000
40658	12	12	000
25996	12	12	000
25999	12	12	000
40392	12	12	000
40686	12	12	000
59275	12	12	000
48620	12	12	000
59285	12	12	000
40330	12	12	000
59627	12	12	000
47986	12	12	000
50356	12	12	000
59472	12	12	000
42347	12	12	000
40685	12	12	000
52669	12	12	000
62931	12	12	000
49413	12	12	000
51428	12	12	000
47234	12	12	000
42566	12	12	000
22339	12	12	000
42229	12	12	000
50219	12	12	000
36815	12	12	000
53074	12	12	000
49273	12	12	000
53075	12	12	000
52368	12	12	000
36961	12	12	000
25985	12	12	000
48236	12	12	000
59471	12	12	000
25989	12	12	000
60047	12	12	000
59473	12	12	000
50898	12	12	000
31795	12	12	000
40018	12	12	000
50311	12	12	000
65534	12	12	000
50848	12	12	000
34942	12	12	000
25988	12	12	000
64249	12	12	000
47378	12	12	000
59015	12	12	000
40251	12	12	000
